title,overview,release_date,id,imdb_id,runtime,budget,revenue,vote_count,vote_average,popularity,Comedy,Adventure,Fantasy,Family,Drama,Romance,War
The Punch Bowl,Die Feuerzangenbowle from Director Helmut Weiss is based on the novel by the same name from Heinrich Spoerl and Hans Reimann that has turned into a cult German film. The film tells the story of a writer Johannes Pfeiffer who goes undercover as a student in a high school after his friends told him that he missed out on a great life experience since he was home schooled.,1944-01-28,878,tt0036818,97,0,0,122,7.1,6.4,1,0,0,0,0,0,0
Hook,"The boy who wasn't supposed to grow up—Peter Pan—does just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. During his trip to see Granny Wendy in London, the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland.",1991-04-10,879,tt0102057,142,70000000,300855000,4853,6.825,26.31,1,1,1,1,0,0,0
Antonia's Line,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",1995-09-21,880,tt0112379,102,900000,0,107,7.0,7.951,1,0,0,0,1,0,0
A Few Good Men,"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.",1992-12-11,881,tt0104257,138,40000000,243240178,3122,7.52,26.064,0,0,0,0,1,0,0
Flussfahrt mit Huhn,"During the summer on their Grandfather’s land Johanna, Robert, Harald and Alex begin a secret journey up the river on a boat with a chicken in search of a new path to the North Sea of Germany. A classic German children’s adventure movie.",1984-11-16,882,tt0087273,103,0,0,3,6.0,1.502,0,1,0,0,0,0,0
Coffee and Cigarettes,Coffee And Cigarettes is a collection of eleven films from cult director Jim Jarmusch. Each film hosts star studded cast of extremely unique individuals who all share the common activities of conversing while drinking coffee and smoking cigarettes.,2003-09-05,883,tt0379217,96,0,7897645,815,6.982,10.88,1,0,0,0,1,0,0
Crash,"After getting into a serious car accident, a TV director discovers an underground sub-culture of scarred, omnisexual car-crash victims who use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife.",1996-07-17,884,tt0115964,100,9000000,0,940,6.5,19.237,0,0,0,0,1,0,0
The Docks of New York,A blue-collar worker on New York's depressed waterfront finds his life changed after he saves a woman attempting suicide.,1928-09-16,885,tt0018839,76,0,0,87,7.092,4.655,0,0,0,0,1,1,0
The Cincinnati Kid,An up-and-coming poker player tries to prove himself in a high-stakes match against a long-time master of the game.,1965-10-15,886,tt0059037,102,0,15260000,238,7.013,11.883,0,0,0,0,1,0,0
The Best Years of Our Lives,"It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare.",1946-12-25,887,tt0036868,171,2100000,23650000,551,7.819,15.781,0,0,0,0,1,1,1
